Word,Form,TimePeriod,SentenceLength
Autorinnen,long,2010s,57
Autorinnen,long,2010s,17
Autorinnen,long,2010s,10
Autorinnen,long,2010s,14
Autorinnen,long,2010s,17
Autorinnen,long,2010s,48
Autorinnen,long,2010s,27
Autorinnen,long,2010s,68
Autorinnen,long,2010s,29
Autorinnen,long,2010s,91
Autorinnen,long,2010s,16
Autorinnen,long,2010s,33
Autorinnen,long,2010s,78
Autorinnen,long,2010s,38
Autorinnen,long,2010s,38
Autorinnen,long,2010s,26
Autorinnen,long,2010s,63
Autorinnen,long,2010s,53
Autorinnen,long,2010s,26
Autorinnen,long,2010s,49
Autorinnen,long,2010s,46
Autorinnen,long,2010s,15
Autorinnen,long,2010s,9
Autorinnen,long,2010s,22
Autorinnen,long,2010s,23
Autorinnen,long,2010s,121
Autorinnen,long,2010s,47
Autorinnen,long,2010s,67
Autorinnen,long,2010s,32
Autorinnen,long,2010s,20
Autorinnen,long,2010s,62
Autorinnen,long,2010s,44
Autorinnen,long,2000s,23
Autorinnen,long,2000s,38
Autorinnen,long,2000s,14
Autorinnen,long,2000s,19
Autorinnen,long,2000s,13
Autorinnen,long,2000s,41
Autorinnen,long,2000s,4
Autorinnen,long,2000s,22
Autorinnen,long,2000s,13
Autorinnen,long,2000s,11
Autorinnen,long,2000s,9
Autorinnen,long,2000s,21
Autorinnen,long,2000s,38
Autorinnen,long,2010s,9
Autorinnen,long,2010s,24
Autorinnen,long,2010s,16
Autorinnen,long,2010s,13
Autorinnen,long,2010s,16
Autorinnen,long,2010s,57
Autorinnen,long,2010s,35
Autorinnen,long,2010s,20
Autorinnen,long,2010s,8
Autorinnen,long,2010s,36
Autorinnen,long,2010s,28
Autorinnen,long,2010s,9
Autorinnen,long,2010s,20
Autorinnen,long,2010s,11
Autorinnen,long,2010s,21
Autorinnen,long,2010s,32
Autorinnen,long,2010s,8
Autorinnen,long,2010s,24
Autorinnen,long,2010s,15
Autorinnen,long,2010s,22
Autorinnen,long,2010s,27
Autorinnen,long,2010s,55
Autorinnen,long,2010s,45
Autorinnen,long,2010s,36
Autorinnen,long,2010s,93
Autorinnen,long,2010s,64
Autorinnen,long,2010s,12
Autorinnen,long,2010s,24
Autorinnen,long,2010s,18
Autorinnen,long,2010s,44
Autorinnen,long,2010s,62
Autorinnen,long,2010s,58
Autorinnen,long,2010s,25
Autorinnen,long,2010s,21
Autorinnen,long,2010s,12
Autorinnen,long,2010s,12
Autorinnen,long,2010s,26
Autorinnen,long,2010s,50
Autorinnen,long,2010s,8
Autorinnen,long,2010s,15
Autorinnen,long,2010s,13
Autorinnen,long,2010s,5
Autorinnen,long,2010s,27
Autorinnen,long,2010s,45
Autorinnen,long,2010s,25
Autorinnen,long,2010s,17
Autorinnen,long,2010s,19
Autorinnen,long,2010s,26
Autorinnen,long,2010s,54
Autorinnen,long,2010s,64
Autorinnen,long,2010s,22
Autorinnen,long,2010s,30
Autorinnen,long,2010s,35
Autorinnen,long,2010s,28
Autorinnen,long,2010s,27
Autorinnen,long,2010s,45
Autorinnen,long,2010s,20
Autorinnen,long,2010s,6
Autorinnen,long,2010s,35
Autorinnen,long,2010s,31
Autorinnen,long,2010s,61
Autorinnen,long,2010s,116
Autorinnen,long,2010s,51
Autorinnen,long,2010s,20
Autorinnen,long,2010s,19
Autorinnen,long,2010s,34
Autorinnen,long,2010s,29
Autorinnen,long,2010s,30
Autorinnen,long,2010s,22
