Word,Form,TimePeriod,SentenceLength
Ärztinnen,long,2010s,14
Ärztinnen,long,2010s,28
Ärztinnen,long,2010s,35
Ärztinnen,long,2010s,18
Ärztinnen,long,2010s,28
Ärztinnen,long,2010s,41
Ärztinnen,long,2010s,15
Ärztinnen,long,2010s,18
Ärztinnen,long,2010s,44
Ärztinnen,long,2010s,16
Ärztinnen,long,2010s,21
Ärztinnen,long,2010s,41
Ärztinnen,long,2010s,21
Ärztinnen,long,2010s,40
Ärztinnen,long,2000s,21
Ärztinnen,long,2000s,24
Ärztinnen,long,2010s,36
Ärztinnen,long,2010s,27
Ärztinnen,long,2010s,14
Ärztinnen,long,2010s,28
Ärztinnen,long,2010s,34
Ärztinnen,long,2010s,34
Ärztinnen,long,2010s,54
Ärztinnen,long,2010s,26
Ärztinnen,long,2010s,23
Ärztinnen,long,2010s,17
Ärztinnen,long,2010s,22
Ärztinnen,long,2010s,15
Ärztinnen,long,2010s,30
Ärztinnen,long,2010s,24
Ärztinnen,long,2010s,8
Ärztinnen,long,2010s,18
Ärztinnen,long,2010s,15
Ärztinnen,long,2010s,15
Ärztinnen,long,2010s,30
Ärztinnen,long,2010s,32
Ärztinnen,long,2010s,31
Ärztinnen,long,2010s,18
Ärztinnen,long,2010s,33
Ärztinnen,long,2010s,43
Ärztinnen,long,2010s,29
Ärztinnen,long,2010s,461
Ärztinnen,long,2010s,21
Ärztinnen,long,2010s,17
Ärztinnen,long,2010s,38
Ärztinnen,long,2010s,36
Ärztinnen,long,2010s,33
Ärztinnen,long,2010s,36
Ärztinnen,long,2010s,40
Ärztinnen,long,2010s,79
Ärztinnen,long,2010s,31
Ärztinnen,long,2000s,19
Ärztinnen,long,2000s,464
Ärztinnen,long,2000s,24
Ärztinnen,long,2000s,24
Ärztinnen,long,2000s,34
Ärztinnen,long,2000s,27
Ärztinnen,long,2000s,9
Ärztinnen,long,2000s,25
Ärztinnen,long,2000s,52
Ärztinnen,short,2010s,18
Ärztinnen,short,2010s,30
Ärztinnen,short,2010s,10
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,67
Ärztinnen,short,2010s,20
Ärztinnen,short,2010s,12
Ärztinnen,short,2010s,11
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,22
Ärztinnen,short,2010s,29
Ärztinnen,short,2010s,18
Ärztinnen,short,2010s,10
Ärztinnen,short,2010s,24
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,36
Ärztinnen,short,2010s,55
Ärztinnen,short,2010s,16
Ärztinnen,short,2010s,24
Ärztinnen,short,2010s,29
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,30
Ärztinnen,short,2010s,30
Ärztinnen,short,2010s,24
Ärztinnen,short,2010s,21
Ärztinnen,short,2010s,27
Ärztinnen,short,2010s,41
Ärztinnen,short,2010s,28
Ärztinnen,short,2010s,22
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,38
Ärztinnen,short,2010s,9
Ärztinnen,short,2010s,13
Ärztinnen,short,2010s,27
Ärztinnen,short,2010s,17
Ärztinnen,short,2010s,28
Ärztinnen,short,2010s,30
Ärztinnen,short,2010s,8
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,15
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,15
Ärztinnen,short,2010s,22
Ärztinnen,short,2010s,36
Ärztinnen,short,2010s,8
Ärztinnen,short,2010s,20
Ärztinnen,short,2010s,20
Ärztinnen,short,2010s,26
Ärztinnen,short,2010s,11
Ärztinnen,short,2010s,11
Ärztinnen,short,2010s,45
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,13
Ärztinnen,short,2010s,38
Ärztinnen,short,2010s,20
Ärztinnen,short,2010s,12
Ärztinnen,short,2010s,11
Ärztinnen,short,2010s,18
Ärztinnen,short,2010s,38
Ärztinnen,short,2010s,20
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,23
Ärztinnen,short,2010s,14
Ärztinnen,short,2010s,40
Ärztinnen,short,2010s,38
Ärztinnen,short,2010s,53
Ärztinnen,short,2010s,10
Ärztinnen,short,2010s,17
Ärztinnen,short,2010s,42
Ärztinnen,short,2010s,17
Ärztinnen,short,2010s,29
Ärztinnen,short,2010s,27
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,19
Ärztinnen,short,2010s,17
Ärztinnen,short,2010s,32
Ärztinnen,short,2010s,27
Ärztinnen,short,2010s,17
Ärztinnen,short,2010s,11
Ärztinnen,short,2010s,15
Ärztinnen,short,2010s,15
Ärztinnen,short,2010s,21
Ärztinnen,short,2010s,22
Ärztinnen,short,2010s,13
Ärztinnen,short,2010s,35
Ärztinnen,short,2010s,25
Ärztinnen,short,2010s,12
Ärztinnen,short,2010s,24
