,Word,Form,TimePeriod,SentenceLength
0,Ärztinnen,long,2010s,12
1,Ärztinnen,long,2010s,26
2,Ärztinnen,long,2010s,33
3,Ärztinnen,long,2010s,16
4,Ärztinnen,long,2010s,26
5,Ärztinnen,long,2010s,39
6,Ärztinnen,long,2010s,13
7,Ärztinnen,long,2010s,16
8,Ärztinnen,long,2010s,42
9,Ärztinnen,long,2010s,14
10,Ärztinnen,long,2010s,19
11,Ärztinnen,long,2010s,39
12,Ärztinnen,long,2010s,19
13,Ärztinnen,long,2010s,38
14,Ärztinnen,long,2000s,19
15,Ärztinnen,long,2000s,22
16,Ärztinnen,long,2010s,34
17,Ärztinnen,long,2010s,25
18,Ärztinnen,long,2010s,12
19,Ärztinnen,long,2010s,26
20,Ärztinnen,long,2010s,32
21,Ärztinnen,long,2010s,32
22,Ärztinnen,long,2010s,52
23,Ärztinnen,long,2010s,24
24,Ärztinnen,long,2010s,21
25,Ärztinnen,long,2010s,15
26,Ärztinnen,long,2010s,20
27,Ärztinnen,long,2010s,13
28,Ärztinnen,long,2010s,28
29,Ärztinnen,long,2010s,22
30,Ärztinnen,long,2010s,6
31,Ärztinnen,long,2010s,16
32,Ärztinnen,long,2010s,13
33,Ärztinnen,long,2010s,13
34,Ärztinnen,long,2010s,28
35,Ärztinnen,long,2010s,30
36,Ärztinnen,long,2010s,29
37,Ärztinnen,long,2010s,16
38,Ärztinnen,long,2010s,31
39,Ärztinnen,long,2010s,41
40,Ärztinnen,long,2010s,27
41,Ärztinnen,long,2010s,459
42,Ärztinnen,long,2010s,19
43,Ärztinnen,long,2010s,15
44,Ärztinnen,long,2010s,36
45,Ärztinnen,long,2010s,34
46,Ärztinnen,long,2010s,31
47,Ärztinnen,long,2010s,34
48,Ärztinnen,long,2010s,38
49,Ärztinnen,long,2010s,77
50,Ärztinnen,long,2010s,29
51,Ärztinnen,long,2000s,17
52,Ärztinnen,long,2000s,462
53,Ärztinnen,long,2000s,22
54,Ärztinnen,long,2000s,22
55,Ärztinnen,long,2000s,32
56,Ärztinnen,long,2000s,25
57,Ärztinnen,long,2000s,7
58,Ärztinnen,long,2000s,23
59,Ärztinnen,long,2000s,50
60,Ärztinnen,short,2010s,18
61,Ärztinnen,short,2010s,30
62,Ärztinnen,short,2010s,10
63,Ärztinnen,short,2010s,19
64,Ärztinnen,short,2010s,25
65,Ärztinnen,short,2010s,19
66,Ärztinnen,short,2010s,67
67,Ärztinnen,short,2010s,20
68,Ärztinnen,short,2010s,12
69,Ärztinnen,short,2010s,11
70,Ärztinnen,short,2010s,19
71,Ärztinnen,short,2010s,22
72,Ärztinnen,short,2010s,29
73,Ärztinnen,short,2010s,18
74,Ärztinnen,short,2010s,10
75,Ärztinnen,short,2010s,24
76,Ärztinnen,short,2010s,19
77,Ärztinnen,short,2010s,36
78,Ärztinnen,short,2010s,55
79,Ärztinnen,short,2010s,16
80,Ärztinnen,short,2010s,24
81,Ärztinnen,short,2010s,29
82,Ärztinnen,short,2010s,25
83,Ärztinnen,short,2010s,30
84,Ärztinnen,short,2010s,30
85,Ärztinnen,short,2010s,24
86,Ärztinnen,short,2010s,21
87,Ärztinnen,short,2010s,27
88,Ärztinnen,short,2010s,41
89,Ärztinnen,short,2010s,28
90,Ärztinnen,short,2010s,22
91,Ärztinnen,short,2010s,25
92,Ärztinnen,short,2010s,38
93,Ärztinnen,short,2010s,9
94,Ärztinnen,short,2010s,13
95,Ärztinnen,short,2010s,27
96,Ärztinnen,short,2010s,17
97,Ärztinnen,short,2010s,28
98,Ärztinnen,short,2010s,30
99,Ärztinnen,short,2010s,8
100,Ärztinnen,short,2010s,19
101,Ärztinnen,short,2010s,15
102,Ärztinnen,short,2010s,19
103,Ärztinnen,short,2010s,15
104,Ärztinnen,short,2010s,22
105,Ärztinnen,short,2010s,36
106,Ärztinnen,short,2010s,8
107,Ärztinnen,short,2010s,20
108,Ärztinnen,short,2010s,20
109,Ärztinnen,short,2010s,26
110,Ärztinnen,short,2010s,11
111,Ärztinnen,short,2010s,11
112,Ärztinnen,short,2010s,45
113,Ärztinnen,short,2010s,25
114,Ärztinnen,short,2010s,13
115,Ärztinnen,short,2010s,38
116,Ärztinnen,short,2010s,20
117,Ärztinnen,short,2010s,12
118,Ärztinnen,short,2010s,11
119,Ärztinnen,short,2010s,18
120,Ärztinnen,short,2010s,38
121,Ärztinnen,short,2010s,20
122,Ärztinnen,short,2010s,19
123,Ärztinnen,short,2010s,23
124,Ärztinnen,short,2010s,14
125,Ärztinnen,short,2010s,40
126,Ärztinnen,short,2010s,38
127,Ärztinnen,short,2010s,53
128,Ärztinnen,short,2010s,10
129,Ärztinnen,short,2010s,17
130,Ärztinnen,short,2010s,42
131,Ärztinnen,short,2010s,17
132,Ärztinnen,short,2010s,29
133,Ärztinnen,short,2010s,27
134,Ärztinnen,short,2010s,25
135,Ärztinnen,short,2010s,19
136,Ärztinnen,short,2010s,17
137,Ärztinnen,short,2010s,32
138,Ärztinnen,short,2010s,27
139,Ärztinnen,short,2010s,17
140,Ärztinnen,short,2010s,11
141,Ärztinnen,short,2010s,15
142,Ärztinnen,short,2010s,15
143,Ärztinnen,short,2010s,21
144,Ärztinnen,short,2010s,22
145,Ärztinnen,short,2010s,13
146,Ärztinnen,short,2010s,35
147,Ärztinnen,short,2010s,25
148,Ärztinnen,short,2010s,12
149,Ärztinnen,short,2010s,24
